식품명,에너지,단백질,지방,탄수화물,1회제공량
개성 왕새우 군만두,195,7,10,19,100.0
허니갈릭소스 뿌린 왕교자,465,15,18,62,246.0
감자떡만두,190,8,7,24,100.0
더욱 맛있어진 뉴 백설군만두,1064,30,60,101,445.0
청고추만두,675,33,26,80,400.0
마시는 오 비타,80,0,0,20,100.0
제주감귤,55,0,0.6,13,140.0
상큼한사과,55,0,0,14,140.0
힘내 파인애플씨,70,0,0,18,135.0
뽀로로 멜론,130,1,0,33,120.0
뽀로로 망고,130,1,0,33,120.0
썬키스트 폴리 사과요구르트,60,0,0,16,100.0
초이스엘 상쾌한 박하향 캔디 OEM,395,0,0,98,100.0
츄파춥스 후르츠 10개입,44,0,0,11,11.0
초이스엘 계피맛 캔디 OEM,395,0,0,98,100.0
초이스엘 누룽지맛 캔디 OEM,40,0,0,10,10.0
초이스엘 홍삼캔디,395,0,0,98,100.0
초이스엘 흑사탕,40,0,0,10,10.0
프루팁스 트로피칼 믹스,40,0,0,10,11.0
초이스엘 시원한 쿨민트 캔디,395,0,0,99,100.0
명작 복분자 13%,105,1,0,7,100.0
두부봉 치즈,270,15,15,20,180.0
두부봉,275,14,16,20,180.0
행복한콩 단단한 부침용 두부,85,7,5,2,100.0
찌개용 두부,160,17,9,3,200.0
국산콩 두부 두모,80,12,3.8,1,100.0
바른콩 진한 두부,90,7,6,2,100.0
국산콩두부 찌개용,70,6,3.9,3,100.0
국산콩두부 부침용,70,7,3.3,4,100.0
콩즙이 2배 진한 유기농두부 찌개용,80,7,4.6,3,100.0
콩즙이 2배 진한 유기농두부 부침용,75,9,3,3,100.0
국산콩 연두부,45,4,2.3,2,100.0
클래식,55,4,0.8,8,114.0
국산콩 느리게 만든 한모,95,8,6,3,100.0
크고 단단한 두부,90,8,6,2,100.0
홀스래디쉬,435,1,41,15,100.0
끝까지 짜먹는 마요네즈,630,0,65,12,100.0
끝까지 짜먹는 토마토케찹,120,2,0.7,27,100.0
끝까지 짜먹는 허니머스타드소스,265,1,16,29,100.0
무지방 골드키위 샐러드소스,50,0,0,13,100.0
참깨드레싱,475,3,44,17,100.0
스테이크소스,510,5,3.7,114,330.0
1000 아일랜드 드레싱,350,0,33,13,100.0
허니머스타드,285,1,19,27,100.0
무지방 파인애플 샐러드소스,55,0,0,13,100.0
6년근 홍삼캔디ll,24,0,0,6,6.0
계란야채죽,175,4,1.5,36,285.0
단호박죽,205,2,0.8,47,285.0
통단팥죽,315,10,1,66,285.0
양반 단호박죽,165,2,0,39,285.0
양반 야채죽,155,3,2.2,31,296.0
후레쉬 오렌지,95,0,0,22,208.0
롯데 제주사랑감귤사랑,25,0,0,6,108.0
델몬트 스카시플러스 오렌지,40,0,0,9,117.0
복음자리 딸기잼,290,0,0,72,100.0
복음자리 유기농 블루베리잼,260,0.3,0.3,64,100.0
동원 딸기잼,215,0,0,54,100.0
알뜰소시지,235,8,15,17,100.0
알찬소시지,925,32,47,93,500.0
초이스엘 옛날소시지,210,6,14,16,100.0
Only Price 깔끔하게 짜먹는 딸기잼,251,0,1.7,58.8,100.0
Only Price 깔끔하게 짜먹는 블루베리잼,242,0,0,60,100.0
옛날국수 중면,340,9,3,69,100.0
초이스엘 메밀국수,345,9,0,77,100.0
Only Price 찰진소면,350,9,0,78,100.0
CHOICE L 소면,350,9,0,78,100.0
백설 제일제면소 소면,345,9,0.9,75,100.0
백설 제일제면소 칼국수면,360,11,1,77,100.0
통통딸기잼,292,0,0,73,100.0
아침엔 우유토스트,86,2,1.6,16,33.0
홀그레인 머스타드,130,3,0,30,100.0
햄스프레드&딥소스,515,2,50,14,100.0
끝까지 짜먹는 스위트칠리소스,190,0,1.4,44,100.0
끝까지 짜먹는 클래식 돈까스소스,190,0,1.4,44,100.0
땅콩소보루스틱,157,3,5,25,45.0
정통크림빵,280,4,12,39,75.0
폭신폭신 에그볼,375,6,7,72,100.0
오리지널 에그샌드위치,678,16,42,59,280.0
라퀴진 그릴프랑크,330,12,30,3,100.0
프라임 꼬치구이 프랑크,276,12,24,3,100.0
서울우유 나 100%,130,6,8,9,200.0
맛있는우유 GT,65,3,4,4.5,100.0
남양 아침목장우유,65,3,4,4.5,100.0
프라임 리얼 매콤 프랑크,270,13,22,5,100.0
도이치부어스트,265,14,20,7,100.0
켄터키후랑크,255,10,20,9,100.0
숲속에 목장우유,70,3,4,5,100.0
365 1등급 우유,60,3,3.6,4.5,100.0
맛있는우유GT 깔끔한 저지방,42,3,1.3,4.5,100.0
서울우유 저지방 나 100%,40,3,1,4.5,100.0
소와나무 우유,140,6,8,11,200.0
빙그레 굿모닝우유,66,3,4,4.5,100.0
메밀부침가루 2호,370,11,2.7,75,100.0
잇퍼스트,391.4,4.2,3,86.9,85.0
감자 치아바타,225,8,1,46,150.0
올리브 치아바타,378,20,7,58.8,150.0
선데이 파인애플키위잼,43,0.1,0.2,10.1,20.0
대학약콩,70,6,2.7,5,190.0
통째로 갈아 만든 유기농두유,95,4,1.8,15,190.0
내몸애 검은콩두유,90,4,3.8,12,190.0
명가명품 제주녹차 카스테라,290,7,5,54,100.0
명가명품 우리벌꿀 카스테라,290,6,5,54,100.0
허니 본델리슈,290,6,5,54,100.0
쇼프트 치즈케익,166,3,6,25,50.0
꽃빵,200,5,1.1,43,100.0
아가베시럽을 넣어만든 유기농 딸기잼,800,1,4.9,188,270.0
유기농 블루베리잼,40,0,0,9,20.0
설탕을 넣지 않은 유기농 블루베리잼,270,0.7,0,65,100.0
CJ꽃빵,1385,28,18,276,550.0
맥케이 블루베리와 블랙커런트 쨈,50,0.7,0,13,20.0
구수한 사골곰탕,75,11,3,1,500.0
유기농 플레인 요구르트,80,2.5,3.4,9,100.0
유기농 딸기 요구르트,80,2.5,3.4,9,100.0
유기농 우유 냉장,65,4,3.5,5,100.0
유기농우유,130,7,7,10,200.0
반계탕,470,32,20,41,600.0
The 더 건강한 브런치 슬라이스 오리지널,120,19,2.9,4,100.0
원칙을 지키는 프랑크,280,14,24,2,100.0
청정원 콰트로치즈 그릴 비엔나,260,11,19,11,100.0
The 더 건강한 햄 치즈,330,13,30,2,100.0
100% 유기농 허니팝 키즈퐁,33.3,0.63,0,7.4,30.0
10종 멀티팩,42.48,0.86,1.66,6.08,30.0
1500 미니약과,91.1,0.66,3.23,15.43,30.0
"150누네띠네, 2000누네띠네, 3600누네띠네",375,6.25,18.75,43.75,30.0
15곡 브라운 라이스 롤,51.94,0.6,3.45,4.65,30.0
15곡 브라운 라이스 롤 블랙 슬림,59.85,0.5,3.02,5.04,30.0
2200 미니약과,96.69,0.74,3.39,16.53,30.0
24개 미니 마카롱,36,1.08,1.62,4.86,30.0
30 홀리데이 캔디 케인스,28.08,0,0,1,10.0
3초만 참으셔,3.9,0,0,0.97,10.0
5곡+2견과 레몬센드,44.25,0.75,1.88,6,30.0
6년근 홍삼캔디,79.44,0.02,0,19.84,10.0
700 미니약과,91.1,0.66,3.23,15.43,30.0
72 마카롱 라즈베리,40.5,0.9,2.1,4.5,30.0
72 마카롱 레몬,40.5,0.9,2.1,4.5,30.0
72 마카롱 바닐라향,40.5,0.9,2.1,4.5,30.0
72 마카롱 초코,40.5,0.9,2.1,4.5,30.0
72 마카롱 커피,40.5,0.9,2.1,4.5,30.0
8 벨지안 트리플 초콜렛 청크 올 버터쿠키,45.72,0.54,2.38,5.44,30.0
8 벨지안 화이트 초콜렛 청크 올 버터쿠키,46.8,0.54,2.48,5.51,30.0
8 체리앤아몬드 올 버터쿠키,41.76,0.61,1.91,5.44,30.0
8 프랩잭 올 버터쿠키,40.32,0.5,1.76,5.44,30.0
C콘칩 ,157.9,1.49,8.33,19.23,30.0
C콘칩 매콤소스,164.47,1.51,9.59,18.03,30.0
C콘칲 골드,47.07,0.52,2.36,5.94,30.0
FP 산딸기모양 구미젤리,4.33,0.07,0,0.97,10.0
FP 상어모양 구미젤리,3.21,0.06,0,0.75,10.0
가루다 계란맛 코팅 땅콩,5.33,0.1,0.27,0.57,10.0
가루다 마늘맛 코팅 땅콩,5.33,0.13,0.31,0.5,10.0
가스트로 화인게백 쿠키,42.9,0.54,2.61,4.32,30.0
가토세크바리에,51.84,0.58,3.32,4.91,30.0
갈레뜨,44.07,0.62,1.86,6.21,30.0
갈레뜨 브르통,41.62,0.68,2.03,5.18,30.0
갈레뜨 에뻬세,48.15,0.54,2.7,5.4,30.0
갈레테 화인,44.07,0.68,1.92,6.08,30.0
갈릭 브래드스틱,39.24,0.9,1.26,6.01,30.0
갈릭 브레드칩,49.5,0.69,2.77,5.88,30.0
갈린코 칩스딜라이트 커피 카라멜칩 쿠키,47.47,0.68,2.47,5.62,30.0
감미칩,51,0.3,3.3,5.1,30.0
감씨형 쌀과자,31.5,0.76,0.08,6.9,30.0
감자 고래밥,92.94,1.37,2.68,16.29,30.0
감자깡,150,2,6,22,30.0
감자러스크,44.31,0.46,2.12,6,30.0
감자미,48.96,0.61,2.97,4.95,30.0
감자미 새콤한맛,47.52,0.61,3.17,4.64,30.0
"강정,깨엿강정, 깨강정",41.85,0.54,1.44,6.57,30.0
"강정,땅콩엿강정, 땅콩강정",39.15,0.63,0.99,6.93,30.0
개구리 모양 젤리,3.25,0.04,0,0.78,10.0
갸또 화이트,222.3,2.63,12.59,24.67,30.0
건강 현미5곡 크리스피롤 녹차맛,44,0.45,2.66,4.46,30.0
건강 현미5곡 크리스피롤 오리지날,44,0.45,2.66,4.46,30.0
건빵,37.8,0.9,0.6,7.2,30.0
"건빵,건빵, 그대로,새건빵",35.28,0.93,0.57,6.31,30.0
검은 참깨 모나카,31.18,0.64,0.51,6.11,30.0
게랑드 솔티드 버터 캬라멜 쿠키,42.12,0.43,2.16,5.04,30.0
게메즈 에낙,45,0.56,1.97,5.62,30.0
겐지파이,50.57,0.56,3.13,5.01,30.0
계란쿠키,43.39,0.58,1.9,6.01,30.0
계란후라이모양 젤리,3.25,0.04,0,0.78,10.0
계피향 사탕,3.85,0,0,0.98,10.0
계피향 사탕,3.85,0,0,1,10.0
고 내츄럴리 유기농 하드 캔디,3.75,0,0,0.94,10.0
고구마깡,43,0.4,1.8,6.4,30.0
고구마칩,46.5,0.3,2.4,6.3,30.0
고다스 길드 오리지날 와플 미니,42.53,0.45,2.03,5.62,30.0
고드름 쥬시,6.25,0,0,1.75,100.0
고래모양 구미젤리,3.33,0.03,0,0.77,10.0
고래밥 볶음,102.47,1.67,2.73,18.18,30.0
고르시아,42.71,0.57,1.55,6.66,30.0
고마도라꾸,41.14,1.03,1.29,6.43,30.0
고마도락꾸,41.91,0.9,1.39,6.45,30.0
고소한 오곡 쿠키,64.04,0.69,3.12,7.96,30.0
고소한 유자 쿠키,60.58,0.69,2.77,8.31,30.0
고코쿠 비스킷,40.91,0.82,1.23,6.55,30.0
골드피쉬 체다,41.1,0.9,1.5,6,30.0
골든 오레오,43.45,0.31,1.86,6.83,30.0
골든사나 바나나칩,45,0.3,2.1,6.3,30.0
골든 오레오,45.31,0.31,1.86,6.83,30.0
곰돌이 구미 젤리,3.28,0.05,0,0.77,10.0
곰돌이 젤리,3.33,0.07,0,0.8,10.0
과일맛젤리 믹스,3.7,0,0,0.9,10.0
과일향 플래셔 캔디,3.75,0,0,0.94,10.0
DHA새우깡,45.36,0.54,2.2,5.44,30.0
고래밥 매콤,38.7,0.63,0.81,7.2,30.0
고래밥 볶음양념,38.7,0.72,0.81,7.11,30.0
고래밥 숯불갈비,37.35,0.72,0.63,7.11,30.0
골든벨,49.23,0.52,2.98,4.79,30.0
꼬깔콘 고소,48.69,0.55,2.7,5.39,30.0
꽃게랑,41.4,0.96,2.46,4.2,30.0
느타리버섯 스낵,47.97,0.68,2.82,4.98,30.0
드라키스쿵 달콤한맛,46.35,0.45,2.25,6.03,30.0
땅콩오징어,42.21,0.95,1.69,5.79,30.0
마르쏘,36.9,0.48,1.46,5.2,30.0
맛동산,41.94,0.86,1.56,6.11,30.0
미니볼,50.85,0.54,3.06,5.13,30.0
미스터 해머,42.3,0.81,1.53,6.3,30.0
미쯔 블랙,42.75,0.63,1.53,6.75,30.0
베베,40.5,0.63,1.17,6.84,30.0
빠다코코낫,45.63,0.49,2.22,5.91,30.0
빼빼로,38.52,0.69,1.48,5.53,30.0
뻥이요,42.66,0.41,1.32,7.27,30.0
소프트샐러드스낵,44.1,0.36,2.25,5.67,30.0
스모키 베이컨칩,43.29,0.43,2.35,4.81,30.0
스위티,47.07,0.44,2.47,5.47,30.0
스윙칩 볶음고추장맛,50.4,0.45,3.06,5.04,30.0
썬칩 바비큐,45,0.45,1.98,6.48,30.0
썬칩 와일드랜치맛,45,0.72,1.98,6.03,30.0
썬칩 핫윙,45,0.72,1.98,6.03,30.0
썬헌터 누룽지맛,44.1,0.9,1.89,5.85,30.0
쓰리디 페페로치노맛,40.05,0.54,1.53,5.94,30.0
아몬드볼,50.13,0.71,3.25,3.86,30.0
아몬드 빼빼로,46.89,0.86,2.83,4.1,30.0
야금야금,42.57,1.03,1.31,6.66,30.0
야채타임,39.06,0.39,2.22,4.11,30.0
양송이버섯 스낵,40.23,1.35,1.43,5.49,30.0
엑서스 고소한맛,45.9,0.63,2.07,5.85,30.0
엑서스 나초맛,45.9,0.81,2.16,0.54,30.0
엑서스 핫소스맛,45.9,0.63,2.07,5.85,30.0
엘리스,50.31,1.08,3.25,4.05,30.0
오감자 슈림프그라땅맛,45,0.36,2.16,6.03,30.0
오감자 텍사스BBQ맛,45,0.36,2.16,6.03,30.0
오징어땅콩,42.75,0.9,1.8,5.67,30.0
고구마깡,44.37,0.53,2.03,5.69,30.0
쟈키자키,45,0.44,2.57,4.69,30.0
초코송이,46.35,0.72,2.16,5.94,30.0
초코초바,47.25,0.54,2.52,5.76,30.0
쵸이스,43.47,0.58,1.79,6.25,30.0
치토스 매콤,50.4,0.45,3.06,5.31,30.0
치토스 바비큐,49.5,0.45,2.88,5.4,30.0
치토스 화이트,49.95,0.54,2.97,5.4,30.0
치토스 화이트 구운옥수수맛,45.45,0.54,2.16,6.03,30.0
칵테일 스낵,38.79,1.37,1.89,4.28,30.0
칼슘 양파링,44.37,0.46,2.03,5.83,30.0
콘돌,39.33,0.86,0.67,7.48,30.0
콘드로이친 감자깡,43.83,0.56,1.96,5.86,30.0
콘칩,45.36,0.54,2.01,6.34,30.0
콘칩 매운맛,44.19,0.51,1.84,6.34,30.0
키토산 자갈치,45.54,0.53,2.21,5.76,30.0
토피,37.08,0.31,0.22,8.48,30.0
토픽,44.91,0.54,2.42,5.01,30.0
포비,42.21,0.53,1.58,6.46,30.0
포카칩 소금맛,52.2,0.54,3.15,4.95,30.0
포카칩 양파맛,50.4,0.54,3.06,5.04,30.0
포카포카,46.35,0.63,2.25,5.94,30.0
표고버섯스낵,49.14,1.22,2.87,4.59,30.0
홈런볼 쵸코,50.67,0.66,3.33,4.47,30.0
환타지아,43.38,0.71,1.47,6.83,30.0
롤웨하스 초코,45,0.54,1.89,6.39,30.0
롤웨하스 화이트,46.8,0.63,2.25,6.03,30.0
웨하스 크림맛,46.71,0.4,2.36,5.99,30.0
웨하스 딸기,45,0.45,1.98,6.39,30.0
웨하스 바닐라,44.55,0.45,1.89,6.39,30.0
까메오,44.55,0.45,1.89,6.48,30.0
마가렛트,45.09,0.68,2.38,5.21,30.0
브라우닝,43.2,0.54,1.71,6.57,30.0
샤브레,42.84,0.41,1.71,6.46,30.0
애플쨈,39.69,0.35,0.41,6.61,30.0
초코칩쿠키,45,0.54,2.07,6.12,30.0
촉촉한 초코칩,45,0.54,2.43,5.31,30.0
쵸코칩 쿠키,47.97,0.6,2.67,5.37,30.0
쵸코파이,40.14,0.39,1.66,5.85,30.0
후레시베리,40.05,0.36,2.16,4.86,30.0
다이제,43.2,0.63,1.71,6.21,30.0
다이제 초코,45.45,0.54,2.07,6.12,30.0
뽀뽀틴,25.83,0,0,6.45,30.0
에이스,47.43,0.63,2.61,5.3,30.0
이츠초코,46.8,0.63,2.25,6.12,30.0
제로,31.14,0.51,3.3,3.06,30.0
찬찬 초코,51.75,0.63,3.35,4.72,30.0
통크,46.35,0.72,2.16,5.94,30.0
하비스트,44.46,0.67,2,5.94,30.0
구르메 젤리 빈스 그린애플향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 레몬향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 망고향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 보이젠베리향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 블루베리향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 솜사탕향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 아이스크림케익향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 체리향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 탄제린향,3.5,0,0,0.93,10.0
구르메 젤리 빈스 핑크자몽향,3.5,0,0,0.93,10.0
구리 요시와라 요깡,72.37,0.66,0,17.76,50.0
구미 웜 젤리,3.33,0.07,0,0.8,10.0
구미100,3.29,0.05,0,0.77,10.0
구미초코볼 스트로베리밀크,4.8,0.08,0.2,0.64,10.0
구슬이랑 별이랑,4,0,0,1,10.0
구아만다,45.81,0.81,2.38,5.28,30.0
구욘 디버스 미니,40.32,0.54,1.44,6.3,30.0
구욘 픽크 물고기모양 크래커,44.46,0.72,1.98,5.94,30.0
구욘 픽크 미니크래커,44.46,0.72,1.98,5.94,30.0
구욘 픽크 믹스크래커,44.46,0.72,1.98,5.94,30.0
구운마늘 다운 이스트 크래커,34.5,0.9,0.9,5.7,30.0
구워만든 쌀로별 인절미맛,41.4,1.35,1.35,6.03,30.0
구촘프 블루베리석류향,27,0,0,6.9,30.0
구촘프 오렌지향,27,0,0,6.9,30.0
구촘프 워터멜론향,27,0,0,6.9,30.0
소면,339,15.1,0.2,69.4,100.0
생소면,262,5,0.7,59,100.0
생국시,262,5,0.7,59,100.0
국희 곡물샌드,47.06,0.59,2.36,5.86,30.0
국희 쵸코샌드,46.62,0.48,2.26,6.08,30.0
굿키스 더블초콜릿칩 쿠키,45,0,2.57,5.14,30.0
굿키스 믹스후르츠맛 쿠키,47.57,0,2.57,5.14,30.0
굿키스 버터쿠키,45,0,1.93,6.43,30.0
굿키스 오트 앤 월넛 쿠키,45,0,2.57,5.14,30.0
굿키스 콘플레이크 앤 레이즌 쿠키,45,0,1.93,6.43,30.0
굿타임 더블 초코 초코칩 쿠키,42.75,0.45,1.89,5.85,30.0
굿타임 클래식 초코칩 쿠키,45,0.45,1.89,6.3,30.0
그대로 쌀과자,36.43,0.43,0.13,8.14,30.0
그라쩌 링게,47.16,0.5,2.52,5.4,30.0
그래놀라 트레일 건블루베리 믹스,37.2,0.9,1.8,4.8,30.0
그래놀라 트레일 건크랜베리 믹스,37.2,0.9,1.8,4.8,30.0
그래놀라 트레일 바나나 믹스,39,0.9,2.1,4.8,30.0
그래놀라 트레일 코코아 믹스,33,0.9,1.2,5.1,30.0
그랜드 게메즈 에낙,45,0.9,2.1,5.7,30.0
그레이스,44.95,0.76,2.01,5.95,30.0
그로똘리,41.94,0.72,1.62,6.12,30.0
그론도나 고체,46.8,0.36,2.52,5.76,30.0
그론도나 까네스트렐리니,43.2,0.72,2.16,5.4,30.0
그론도나 라떼,42,0.6,1.8,6,30.0
그론도나 보치니,39.6,0.72,1.44,5.76,30.0
그론도나 초코,46.8,0.72,2.52,5.4,30.0
그리스비 쿠키,43.59,0.51,2.28,5.23,30.0
그리시니,36.6,1.2,0.72,6.3,30.0
그리시니 갈릭 브레드스틱,35.28,1.51,0.58,6.37,30.0
그리시니 브레드스틱,35.55,1.12,0.61,6.3,30.0
그리시니 브레드스틱 갈릭,36,1.12,0.56,6.3,30.0
그리시니 브레드스틱 참깨,37.12,1.12,0.88,5.85,30.0
그리시니 브레드스틱 마늘,36,1.12,0.49,6.8,30.0
그리시니 브레드스틱 멀티그레인,33.48,1.15,0.43,6.26,30.0
그리시니 브레드스틱 참깨,36,1.12,0.58,6.62,30.0
그리시니 참깨 브레드스틱,39.6,1.37,1.37,5.4,30.0
그리시니 트레디셔널 브레드스틱,36,1.08,0.58,6.59,30.0
그린티 샌드 쿠키,45.26,0.51,2.06,6.17,30.0
그린 마메,39.33,1.67,1.1,5.67,30.0
그린애플향 태피 엘아이티이,35.36,0,0.64,7.07,30.0
그린티향 태피,35.36,0,0.64,7.07,30.0
그린피스 와사비 스낵,39,1.38,1.05,6,30.0
그린피스 스낵,40.5,1.69,1.12,5.91,30.0
글루코 비스켓,40.44,0.51,1.52,6.17,30.0
글룩스 팝콘,19.38,0.18,1.24,1.87,20.0
김말이 쌀과자,34.5,0.9,0,7.5,30.0
김말이 쌀과자,30.9,0.73,0.08,6.82,30.0
김미과,34.5,0.9,0,7.5,30.0
김 쌀과자,32.4,0.72,0,7.2,30.0
김 쌀과자,48.44,0.53,2.12,6.35,30.0
까레 카카오,11.14,0.22,0.48,1.46,15.0
까짱 반둥,43.2,1.08,2.43,4.23,30.0
까짱 아톰페다스,48.3,0.9,2.7,4.8,30.0
껨블랑고렝,45,0.75,2.25,5.25,30.0
꼬깔콘 군옥수수 맛,51.09,0.69,3.19,4.91,30.0
꼬깔콘 매콤달콤한 맛,51.75,0.45,3.15,5.4,30.0
꼬깔콘 해바라기 고소한 맛,50.4,0.45,2.97,5.49,30.0
꼬깔콘 해바라기 군옥수수 맛,49.95,0.45,2.79,5.67,30.0
꼬마곰 훼미리,3.2,0.06,0,0.74,10.0
꽃게랑 클래식,156,2.4,7.2,20.1,30.0
꾸루북 바왕,15.9,0.3,0.3,3,30.0
꾸루북 바왕,16.8,0.3,0.3,3,30.0
꾸루북 바왕,15.9,0.3,0.3,3,30.0
꾸루뿍 이칸 뚱기리,40.5,0.6,1.5,6.3,30.0
꾸수까 끄리삑 싱콩 카사바 칩스,42.3,0.3,2.7,5.4,30.0
꿀꽈배기,43.5,0.3,1.8,6.6,30.0
끄루뿍 로다,45,0.75,2.25,5.25,30.0
끄루뿍 아찌,45,0.75,2.25,5.25,30.0
끄리삑삐상살레리다,18,0.6,1.68,3,30.0
끄리픽템빼,34.5,1.26,0.63,5.85,30.0
나마 오키나와 구로아메캔디,3.85,0,0,0.92,10.0
나쵸 토틸라칩,44.4,0.6,2.4,5.4,30.0
나쵸 칩,45,0.64,1.93,6.11,30.0
나쵸 칩스,45,0.64,1.93,6.11,30.0
나카모리 송로,30.42,0.47,0.04,7.06,30.0
나포리 레몬크림필더 와퍼,46.2,0.33,2.46,5.7,30.0
나포리 바닐라향크림필더 와퍼,46.2,0.54,2.64,5.1,30.0
나포리 헤이즐넛크림필더 와퍼,45.6,0.54,2.43,5.4,30.0
나폴리탄 태피,35.36,0,0.64,7.07,30.0
남부 센베,45,1.65,2.1,5,30.0
남양 유기농 쌀과자 아기꼬야 12개월부터 산들촌,32.4,0.36,0,7.56,30.0
남양 유기농 쌀과자 아기꼬야 7개월부터 산들촌,32.4,0.36,0,7.56,30.0
내이쳐 밸리 츄위 그래놀라 바,38.88,0.72,1.08,6.84,30.0
네리 미니요깡,71.98,0.86,0,17.24,50.0
네이처밸리 애플 크런치,40.71,0.66,1.35,6.21,30.0
네이처밸리 오츠 앤 허니,42.64,0.86,1.5,6.43,30.0
네이처밸리 캐네디언 메이플시럽 캐네디 메이플시럽2%,40.71,0.73,1.48,5.87,30.0
네이쳐 밸리 트레일 믹스바,36,0.77,1.03,6.43,30.0
네이키드 토피,51.82,0.27,3.27,5.18,30.0
노리 코이와,40.78,0.37,1.32,6.75,30.0
노리마끼,31.5,0.6,0.9,5.1,30.0
노리마끼 오리지널,34.55,0.84,0.03,7.77,30.0
노리마끼 치즈,43.62,0.56,2.01,5.83,30.0
노리마키 아라레스틱 쌀과자,33.6,0.9,0,7.5,30.0
노리마키 센베이,34.07,0.71,0.13,7.55,30.0
노리와사비 땅콩과자,48,2.1,2.7,3.9,30.0
노리텐 간장맛,53.33,0.68,3.83,4.05,30.0
노리텐 와사비,52.96,0.58,3.81,4.11,30.0
노리텐 우마시오,52.53,0.62,3.71,4.16,30.0
노리피 팩,66.6,2.38,3.15,7.2,30.0
노리피 팩,44.55,1.58,2.12,4.81,30.0
노바 멀티그레인 스낵,42,0.92,1.5,6.23,30.0
노츠 보이젠베리 쿠키,38.25,0.45,1.8,4.95,30.0
노츠 스트로베리 쿠키,38.25,0.45,1.8,4.95,30.0
녹차 와사비 완두콩,35.13,1.27,0.99,5.28,30.0
녹차 사탕,3.85,0,0,0.92,10.0
놀이공원 비스켓,40.32,0.94,1.3,6.26,30.0
포스틱,41.83,0.48,1.57,6.44,30.0
누가텔리 쿠키,45.67,0.45,2.47,5.4,30.0
누네띠네,45,0.75,2.25,5.25,30.0
누네띠네 미니,106.67,0.89,5.78,12.89,30.0
누텔라 앤 고,45.87,0.68,2.42,5.54,30.0
눈꽃핀 쌀과자,42.75,0.5,1.75,6.5,30.0
뉴 베이커리 클래씩 쿠키,43.91,0.57,2.32,5.12,30.0
뉴 아지고노미,38,1.2,1,6,30.0
뉴트로 딸기향 크림 웨하스,49.65,0.58,3.19,4.65,30.0
뉴트로 바닐라향 크림 웨하스,50.81,0.58,3.19,4.94,30.0
뉴트로 초콜릿향 크림 웨하스,45.29,0.58,2.32,5.52,30.0
뉴트리 그레인 블루베리 바,29.19,0.49,0.73,5.84,30.0
뉴트리 그레인 스트로베리 바,29.19,0.49,0.73,5.84,30.0
뉴트리 그레인 씨리얼 바,29.19,0.49,0.73,5.84,30.0
뉴트리 그레인 씨리얼 바 블루베리,29.19,0.49,0.73,5.84,30.0
뉴트리 그레인 씨리얼 바 스트로베리,29.19,0.49,0.73,5.84,30.0
뉴트리 그레인 씨리얼 바 애플 시나몬,29.19,0.49,0.73,5.84,30.0
뉴트리 그레인 애플 시나몬 바,29.19,0.49,0.73,5.84,30.0
뉴트리 멀티그레인 비스킷,44.7,0.75,1.98,5.97,30.0
니니체 캔디,3.75,0,0,0.94,10.0
니쇼쿠 모나카,27,0.3,0.12,6.3,30.0
니코스 혼합과일 맛 캔디,3.98,0.03,0.14,2.1,10.0
다바오 바나나칩,47.7,0.18,2.52,5.94,30.0
다섯곡물칩,44.55,0.54,1.89,6.48,30.0
다이와 낫토키나제 125,32.22,1.62,0,3.78,30.0
다이제스티브 밀크초콜릿 쿠키,44.1,0.6,2.1,5.7,30.0
